"storeLocation","customer.gender","customer.age","customer.email","customer.satisfaction","couponUsed","purchaseMethod"
"Denver",M,42,cauho@witwuta.sv,4,TRUE,"Online"
"Seattle",M,50,keecade@hem.uy,5,FALSE,"Phone"
"Denver",M,51,worbiduh@vowbu.cg,5,FALSE,"In store"
"Seattle",F,45,vatires@ta.pe,3,FALSE,"In store"
"London",M,40,dotzu@ib.sh,4,FALSE,"In store"
"London",M,44,owtar@pu.cd,2,FALSE,"In store"
"London",F,40,pan@cak.zm,5,FALSE,"In store"
"Austin",M,71,man@bob.mz,3,FALSE,"Online"
"New York",M,26,rapifoozi@viupoen.bb,5,TRUE,"In store"
"Denver",M,57,ohaguwu@nufub.gi,3,FALSE,"In store"
"Seattle",F,34,keigutip@vaw.tc,4,FALSE,"Phone"
"London",F,49,merto@betosiv.pm,3,FALSE,"In store"
"San Diego",F,59,la@cevam.tj,4,FALSE,"In store"
"Seattle",M,55,eja@ko.es,2,FALSE,"Online"
"San Diego",F,36,gul@waija.nz,5,FALSE,"Online"
"Denver",M,28,fapra@rutes.tj,3,FALSE,"Phone"
"New York",F,53,se@nacwev.an,4,FALSE,"Phone"
"London",F,50,velo@nukav.fr,5,FALSE,"In store"
"San Diego",F,40,elusekjiv@kuajmag.as,4,TRUE,"In store"
"New York",F,39,beecho@wic.be,3,FALSE,"In store"
"Denver",M,30,ziguh@lu.bf,4,FALSE,"In store"
"Denver",F,31,fimpig@an.is,5,FALSE,"In store"
"San Diego",M,61,ucikosusu@sid.uz,1,FALSE,"Online"
"London",M,58,jalpo@ha.mq,5,FALSE,"In store"
"London",F,27,zu@bainku.za,5,FALSE,"Online"
"Denver",M,48,avwa@ud.pt,3,FALSE,"In store"
"Austin",F,37,oh@ocdumvi.mq,4,FALSE,"Online"
"Denver",F,48,jorcol@ir.se,4,FALSE,"In store"
"Denver",F,70,wuulabeb@patsef.vu,4,FALSE,"In store"
"Seattle",M,49,me@lih.st,4,FALSE,"Phone"
"Denver",M,60,du@il.ug,5,FALSE,"In store"
"Seattle",M,60,kege@nibomjo.gq,1,FALSE,"In store"
"Denver",F,54,civma@rozfon.tr,5,FALSE,"In store"
"San Diego",F,33,ugmu@bekuba.tg,5,FALSE,"In store"
"Denver",M,66,henbaw@dasekoh.bf,4,FALSE,"Online"
"Seattle",F,26,kupeen@gareha.ne,5,TRUE,"In store"
"New York",F,57,cuwoik@luvgu.tc,5,FALSE,"In store"
"Austin",F,64,mucloji@popitdib.fi,4,FALSE,"Online"
"Denver",F,59,veb@molog.eu,3,FALSE,"Online"
"London",M,70,nupettum@dovloc.id,4,FALSE,"In store"
"San Diego",F,70,itene@jini.ir,3,FALSE,"Phone"
"Seattle",F,52,nupzig@apubu.hu,3,TRUE,"In store"
"London",F,74,wapunu@ba.bm,1,FALSE,"Online"
"New York",M,31,do@neokliw.sz,5,FALSE,"Online"
"New York",F,52,citga@fo.pg,5,FALSE,"In store"
"Seattle",M,52,apokas@miz.tg,5,FALSE,"Online"
"Seattle",F,29,ti@zawpa.it,5,FALSE,"Online"
"Seattle",M,49,ce@jinsuod.sy,5,TRUE,"Online"
"London",M,71,ep@jedofi.gd,5,FALSE,"Online"
"Denver",F,37,vo@fow.gq,1,FALSE,"In store"
"Austin",F,50,nahnima@kec.pl,3,TRUE,"Online"
"Denver",F,48,atrufsu@jiklean.uy,4,FALSE,"Online"
"Austin",F,29,gi@ibiizabu.com,4,FALSE,"In store"
"Seattle",M,53,posti@reppijnup.la,2,FALSE,"In store"
"Austin",M,24,kabupta@voc.bi,4,FALSE,"Online"
"Seattle",F,24,fufjoka@zihuos.bj,4,FALSE,"Online"
"Denver",M,48,so@zad.mt,3,FALSE,"In store"
"London",F,53,we@bedijohaz.gp,3,FALSE,"In store"
"Denver",M,47,tomvokja@siigupe.pt,5,FALSE,"Online"
"Denver",M,52,beancu@oz.ee,1,TRUE,"In store"
"London",F,33,sumovbul@vohaduc.ug,5,FALSE,"Phone"
"Denver",M,57,hegbif@lun.to,4,FALSE,"Online"
"London",M,68,heipove@bagduve.org,5,FALSE,"In store"
"Austin",F,65,ow@fiufbed.us,4,FALSE,"In store"
"Austin",F,44,midro@te.cy,5,FALSE,"Phone"
"Seattle",M,39,defzi@nonja.sx,5,FALSE,"Online"
"Denver",F,38,zevalnet@vo.im,3,FALSE,"Online"
"Austin",M,62,puvcup@tuiremo.gm,5,FALSE,"In store"
"Denver",M,25,varziiru@ji.es,5,FALSE,"In store"
"Denver",M,58,vitotauba@masge.ro,1,FALSE,"In store"
"Seattle",M,54,utsefac@gipu.tt,4,FALSE,"Phone"
"London",M,61,lajdo@zizkuen.au,1,FALSE,"Online"
"Denver",F,68,medju@humdo.sj,2,FALSE,"Online"
"Denver",M,35,vitwif@pop.eu,1,FALSE,"Online"
"Seattle",F,46,egusomir@im.za,3,FALSE,"Online"
"San Diego",F,30,kangas@odwub.vi,3,FALSE,"In store"
"Seattle",F,44,acmumtuc@dehse.mx,4,FALSE,"In store"
"Seattle",M,23,pevu@razit.uy,5,FALSE,"In store"
"Seattle",F,60,waf@sin.ax,5,FALSE,"Phone"
"London",F,29,jokakre@pocuuwe.kw,4,FALSE,"In store"
"New York",M,30,remcihce@iwjamwit.kp,1,FALSE,"In store"
"Seattle",F,57,weptohen@on.ch,5,FALSE,"Phone"
"Denver",F,59,riul@issuiw.bq,5,FALSE,"In store"
"London",M,53,osi@wenowu.vu,4,TRUE,"In store"
"Denver",F,63,wi@anupil.tr,5,FALSE,"In store"
"Denver",F,44,ozukwak@dotetlit.bb,4,FALSE,"In store"
"Seattle",F,48,ti@tegwudew.gd,4,FALSE,"In store"
"New York",F,59,kave@we.com,5,FALSE,"In store"
"Seattle",M,68,vozeztib@objibus.wf,4,FALSE,"In store"
"Austin",F,53,liwleno@puhcid.ci,4,FALSE,"Phone"
"Seattle",F,68,kome@fizsi.mt,5,FALSE,"In store"
"San Diego",F,36,gopohu@gat.vg,5,TRUE,"Online"
"Austin",F,55,jaddo@epda.in,3,FALSE,"In store"
"Seattle",F,44,div@me.it,4,FALSE,"Online"
"Denver",M,31,jedgi@lez.bn,2,FALSE,"In store"
"Denver",M,66,baku@epovet.la,2,FALSE,"In store"
"Austin",F,19,zaul@ketpuru.mk,5,FALSE,"Phone"
"San Diego",M,49,aroru@ti.yt,2,FALSE,"In store"
"London",M,57,ajre@dogwa.do,4,FALSE,"In store"
"Austin",F,37,ebu@jad.dk,3,FALSE,"Online"
"Denver",M,35,icelu@ogefujjof.cm,2,FALSE,"Online"
"San Diego",F,21,jas@kumethi.tg,4,FALSE,"Online"
"London",M,50,pecsobfan@win.net,5,TRUE,"In store"
"Seattle",M,45,ewha@oc.ki,5,FALSE,"In store"
"Austin",M,39,iva@odzeof.kn,4,TRUE,"Online"
"London",F,55,gem@dibihu.sv,4,FALSE,"Online"
"Denver",F,57,puebofo@tuwduusu.cz,5,FALSE,"Online"
"Denver",M,35,uhasik@ar.sz,4,FALSE,"Online"
"Denver",F,60,ciz@acino.kg,1,FALSE,"In store"
"Seattle",M,48,korjig@tispah.st,4,FALSE,"Online"
"London",F,73,anre@fowsi.cv,5,FALSE,"In store"
"Austin",M,55,cew@suivu.org,4,FALSE,"Online"
"San Diego",M,18,gacaf@pob.fj,4,FALSE,"Online"
"Seattle",F,35,ka@ninocudid.pk,2,FALSE,"In store"
"Seattle",M,62,bimvo@kub.bq,1,FALSE,"In store"
"Denver",F,65,kapdov@vihtuzi.tv,3,FALSE,"Online"
"Denver",F,65,so@hurid.in,5,TRUE,"Online"
"Denver",M,22,nefuvto@cod.mq,5,FALSE,"In store"
"San Diego",F,37,duricazip@nasroh.gb,2,FALSE,"In store"
"New York",M,34,li@efva.gm,5,FALSE,"In store"
"New York",F,34,fase@has.sx,2,FALSE,"In store"
"Denver",M,40,ta@ubaceah.tk,4,FALSE,"Online"
"Seattle",M,57,me@zebda.gd,5,FALSE,"Online"
"Seattle",F,35,sigot@musob.nu,4,FALSE,"In store"
"Seattle",M,63,dekzor@zefucve.eh,4,FALSE,"Phone"
"Denver",F,36,adkesgor@cuticih.cd,5,FALSE,"Phone"
"Seattle",M,52,hedmetul@zizacum.in,4,FALSE,"Online"
"London",M,69,lu@cougva.cy,3,FALSE,"Online"
"London",M,32,erro@finhu.gn,4,TRUE,"In store"
"San Diego",M,57,ebvol@bigeh.gh,5,FALSE,"In store"
"Seattle",F,60,peczoh@oz.gd,1,FALSE,"In store"
"San Diego",F,41,pu@ejkurum.la,5,FALSE,"In store"
"Denver",M,17,jegged@ijnu.cw,5,FALSE,"In store"
"New York",F,60,dogzab@me.mr,3,FALSE,"Online"
"Denver",M,35,zem@boon.er,3,FALSE,"Online"
"Seattle",M,34,ecuonu@loofuno.nz,5,TRUE,"In store"
"Denver",F,33,ihuwih@gabec.au,4,FALSE,"In store"
"Denver",F,31,mi@dus.bb,5,FALSE,"In store"
"San Diego",F,27,bonoma@be.mu,5,FALSE,"In store"
"Austin",M,47,waikihi@faluh.gd,4,FALSE,"Online"
"Seattle",F,45,haretal@itleleg.vu,2,FALSE,"In store"
"Denver",M,48,huani@ritucazi.af,2,FALSE,"In store"
"Denver",M,50,icujoseh@vajon.gf,5,FALSE,"In store"
"San Diego",F,49,welub@adise.tl,4,FALSE,"In store"
"London",F,46,jezga@novirom.tr,5,TRUE,"In store"
"London",F,65,fobhupusi@atcodim.ye,3,FALSE,"In store"
"London",M,66,rewluclil@zufi.ca,4,FALSE,"Online"
"Austin",M,25,lob@enitero.qa,1,TRUE,"In store"
"Denver",F,40,re@inobu.dm,4,FALSE,"In store"
"Denver",M,71,zepud@gatimmuc.mm,2,FALSE,"Phone"
"London",F,56,galvuhamo@popudhuv.td,5,FALSE,"Phone"
"Seattle",F,74,ufvig@tapot.sm,5,FALSE,"In store"
"San Diego",F,44,ka@cidizpen.jm,3,FALSE,"Phone"
"London",F,48,humofcu@zulot.ca,4,FALSE,"Phone"
"Denver",M,43,romos@uddic.ml,5,FALSE,"In store"
"Denver",M,54,edilurow@movoz.kn,5,FALSE,"Phone"
"London",F,54,rulu@vaju.la,2,FALSE,"In store"
"London",F,67,kof@uszi.cx,5,FALSE,"In store"
"Austin",M,39,usuzola@depove.km,5,FALSE,"Phone"
"Seattle",F,31,ramubdo@lovlozjuh.bw,5,FALSE,"Online"
"London",M,44,movodfa@tuddat.ng,4,FALSE,"In store"
"London",M,46,an@tiv.cx,3,FALSE,"In store"
"Denver",F,71,semevahe@ja.gd,4,FALSE,"In store"
"Austin",M,35,wofihiki@zupov.pm,5,FALSE,"In store"
"Denver",M,50,gid@hohfu.hu,3,FALSE,"Online"
"London",M,61,marbipac@wicafa.io,5,FALSE,"Phone"
"New York",M,34,bubbecgu@odidecned.tf,3,FALSE,"Phone"
"Seattle",M,40,piuciviz@had.cu,5,FALSE,"In store"
"London",F,26,uchocga@jucuv.mh,4,FALSE,"In store"
"London",M,40,uzlo@helem.na,3,FALSE,"In store"
"Denver",F,72,mepzege@egwuuvo.py,5,FALSE,"In store"
"Seattle",M,51,siva@zitawca.la,5,FALSE,"In store"
"London",M,47,gijudow@turuwim.do,4,FALSE,"Online"
"Austin",F,39,muru@unalatpo.qa,5,TRUE,"Phone"
"Denver",F,41,gut@pi.gov,5,FALSE,"Online"
"New York",F,48,id@pahu.rs,3,FALSE,"In store"
"Denver",M,51,uzavo@ilulewo.ba,1,FALSE,"In store"
"London",F,48,wir@osibova.aq,2,TRUE,"In store"
"Denver",M,19,maz@bi.vg,3,FALSE,"In store"
"New York",F,42,jecosab@copfatma.af,3,FALSE,"Phone"
"Denver",M,49,el@kadi.py,4,FALSE,"Phone"
"Seattle",M,54,ba@jemce.us,5,TRUE,"Online"
"New York",M,34,iz@covikse.com,5,FALSE,"Online"
"Denver",M,70,nebdekse@buwawge.sh,5,FALSE,"In store"
"Denver",F,43,tuh@edzean.ye,5,TRUE,"In store"
"Austin",F,43,gerwore@aj.py,4,FALSE,"In store"
"Denver",M,58,uwokow@cu.za,3,FALSE,"Online"
"Seattle",F,22,poscirhuf@ip.bm,4,FALSE,"In store"
"London",M,62,gadpusu@jopegwo.cm,5,FALSE,"Phone"
"San Diego",M,21,bacuj@tecummec.mo,5,FALSE,"Phone"
"Denver",M,32,rimla@sil.np,3,FALSE,"Phone"
"Austin",F,16,uma@obu.la,1,FALSE,"Online"
"Seattle",M,51,davnuwcu@no.vi,5,FALSE,"In store"
"Austin",F,61,bizlov@mu.vu,5,FALSE,"In store"
"London",M,61,lo@jakwaepu.bg,1,FALSE,"Online"
"Seattle",M,33,berpe@di.fj,4,FALSE,"Online"
